classe_obf	typedef_index	nom_clair	score	methode	statut	provenances_daccord	nb_candidats_a_egalite	chemin_de_preuve
		CharacterChangeBreedRequest			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterCharacteristic			À_CLASSER		3	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterCharacteristicDetailed			À_CLASSER		4	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterCharacteristicDetailedUsable			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterCharacteristicUpgradeRequest			À_CLASSER		4	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterCharacteristics			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterCreationRequest			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
kvz	13521	CharacterCreationRequestMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kvz
kvb	13479	CharacterCreationResultMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kvb
		CharacterDeletionPrepareEvent			À_CLASSER		25	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterDeletionRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterEpicInformation			À_CLASSER		18	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterExperienceGainEvent			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
kvl	13497	CharacterFirstSelectionMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kvl
		CharacterFirstSelectionRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterForceSelectionEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterForceSelectionReadyRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
mjg	39042	CharacterInformation	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py)
		CharacterLevelUpEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterLifeStatusEvent			À_CLASSER		58	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterListErrorEvent			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterListEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterListRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterListResponse			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Connection, aucun retenu
		CharacterListWithRemodelingEvent			À_CLASSER		12	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterLoadingCompleteEvent			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterLook			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterNameSuggestionEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterNameSuggestionRequest			À_CLASSER		23	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
kvk	13495	CharacterNameSuggestionSuccessMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kvk
		CharacterOnConnectionEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterPresetCreateResponse			À_CLASSER		27	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterPresetCurrentStateRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterPresetInfo			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterPresetInfoRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterPresetInfoResponse			À_CLASSER		48	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterPresetResetResponse			À_CLASSER		48	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterPresetSetResponse			À_CLASSER		48	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
iis	10720	CharacterRemodelingInformation	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f5 (ifh.f5=ifj <-> PartyJoinEvent.f5=Character) -> arrastre champ f1 (ifj.f1=iis <-> Character.f1=CharacterRemodelingInformation)
		CharacterReplayRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterReplayWithRemodelRequest			À_CLASSER		48	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterRestrictionsEvent			À_CLASSER		2	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
kva	13477	CharacterSelectedSuccessMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kva
		CharacterSelectionEvent			À_CLASSER		81	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
kvw	13515	CharacterSelectionMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kvw
		CharacterSelectionRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterSelectionWithRemodelRequest			À_CLASSER		48	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
kub	13438	CharacterStatsListMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kub
mje		CharacterStatus	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f2 (mjg.f2=mje <-> CharacterInformation.f2=CharacterStatus)
		CharacterToRemodelInformation			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacteristicsDetails			À_CLASSER		4	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacteristicsInfo			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
kvd	13483	CharactersListEndMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kvd
kvi	13491	CharactersListMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kvi
kpa	13222	CharactersListRequestMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kpa
		CharactersRequest			À_CLASSER		5	0 ou plusieurs candidats de même round-0 dans Connection, aucun retenu
		ChatChannelMessageEvent			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
heg	9459	ChatChannelMessageRequest	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py)
lgz	13955	ChatChannelsEnabledEvent	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py)
ktm	13411	ChatClientMultiMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=ktm
		ChatPrivateCopyMessageEvent			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
kti	13405	ChatServerMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kti
		ChestActivity			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		Choice			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChoiceSelectedEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChoiceSelectedRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChoiceSelectionEvent			À_CLASSER		7	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CinematicEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ClientChallengeInitRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ClientIdRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ClientUIOpenedEvent			À_CLASSER		1	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		Command			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
hki	9720	CommandSummary	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py)
		Companion			À_CLASSER		11	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CompassUpdateEvent			À_CLASSER		3	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
jot		Completion	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f4 (jov.f4=jot <-> QuestObjective.f4=Completion)
		ConsoleCommand			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ConsoleEnd			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ConsoleMessage			À_CLASSER		48	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ContactInformation			À_CLASSER		23	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ContactLookErrorEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ContactLookEvent			À_CLASSER		4	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ContactLookRequest			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
kqg	13270	ContactsListMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kqg
mgz	15060	ContentCatalogVersionMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=mgz
		ContextCreationEvent			À_CLASSER		81	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ContextCreationRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ContextDestroyEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ContextKickRequest			À_CLASSER		14	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ContextQuitRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ContextReadyRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ContextRefreshEntityLookEvent			À_CLASSER		48	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ContextRemoveElementEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ContextRemoveElementsEvent			À_CLASSER		23	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		Contribution			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CosmeticInventoryLivingObjectFeedRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CosmeticInventoryLivingObjectFeedResponse			À_CLASSER		48	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CosmeticInventoryLoadedEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CosmeticInventoryPopObjectResponse			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		Craft			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
jru	12219	CurrentMapMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=jru
		DateRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		Death			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		DebtInformation			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		DebugClearHighlightCellsEvent			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		DebugInClientEvent			À_CLASSER		58	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		DecraftResultEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		DecraftedItem			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		DelayedActionCancelRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		DelayedActionEvent			À_CLASSER		11	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		DelayedActionFinishedEvent			À_CLASSER		14	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		Details			À_CLASSER		7	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		DialogLeaveEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		DialogLeaveRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
htj		Dictionary<int, int>	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f2 (htl.f2=htj <-> BreachCharactersEvent.f2=Dictionary<int, int>)
lgp	13937	Dictionary<string, string>	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f3 (lgz.f3=lgp <-> ChatChannelsEnabledEvent.f3=Dictionary<string, string>)
		Dig			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		DocumentReadingBeginEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		DodgePointLoss			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		DropCharacter			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		DumpedEntityStatsEvent			À_CLASSER		7	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		EffectRemove			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		Element			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		EmoteAddedEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		EmoteMassivePlayEvent			À_CLASSER		9	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		EmoteOption			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		EmotePlayErrorEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		EmotePlayEvent			À_CLASSER		25	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		EmotePlayRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		EmoteRemovedEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		EmotesEvent			À_CLASSER		23	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		EmptyPreset			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
jbn	11531	EnterHavenBagRequestMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=jbn
		EntitiesDispositionEvent			À_CLASSER		12	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		EntityDisposition			À_CLASSER		5	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		EntityDispositionErrorEvent			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		EntityFighterInformation			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
jpl		EntityLook	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f3 (jpn.f3=jpl <-> SummonContextInformation.f3=EntityLook) [nom réutilisé par 2 occurrences distinctes : hoj]
hoj		EntityLook	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f2 (hol.f2=hoj <-> Outfit.f2=EntityLook) [nom réutilisé par 2 occurrences distinctes : jpl]
		EntityMember			À_CLASSER		48	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
joa	12062	EntitySpawnInformation	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f1 (jpn.f1=joa <-> SummonContextInformation.f1=EntitySpawnInformation)
jlp	11960	EntityTalkEvent	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py)
		EquipmentRefresh			À_CLASSER		81	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		Error			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		Event			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeAcceptRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBidBuyerStartedEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBidHouseBuyRequest			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBidHouseBuyResultEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBidHouseGenericItemAddedEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBidHouseGenericItemRemovedEvent			À_CLASSER		48	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBidHouseInListAddedEvent			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBidHouseInListRemovedEvent			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBidHouseInListUpdatedEvent			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBidHouseItemRemovedEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBidHouseListRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBidHouseOfflineSoldItemsEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBidHousePriceRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBidHouseSearchRequest			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBidHouseTypeRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBidHouseUnsoldItemsEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBidPriceEvent			À_CLASSER		34	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBidSellerStartedEvent			À_CLASSER		6	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBoughtEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeBuyRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeCraftPaymentModificationRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeCraftResultWithObjectDescription			À_CLASSER		12	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeCraftStartedEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeCrafterJobLevelUpEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeErrorEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
hdx	9446	ExchangeHandleMountsRequest	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py)
		ExchangeKamaModifiedEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeLeaveEvent			À_CLASSER		14	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
khd	12901	ExchangeLeaveMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=khd
		ExchangeMountFreeFromPaddockEvent			À_CLASSER		23	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeMountRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeMountStockStartedEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeMountWithoutPaddockStartedEvent			À_CLASSER		12	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeMountsPaddockRemoveEvent			À_CLASSER		23	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeMountsStableAddedEvent			À_CLASSER		1	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeMountsStableRemoveEvent			À_CLASSER		23	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeMoveKamaRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeMultiCraftCrafterCanUseHisResourcesEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeMultiCraftCrafterStartedEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeMultiCraftCustomerStartedEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeMultiCraftOkEvent			À_CLASSER		34	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeNpcShopStartedEvent			À_CLASSER		3	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeNpcTradeStartedEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObject			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectModifyPricedRequest			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
kcr	12703	ExchangeObjectMoveMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kcr
		ExchangeObjectMovePricedRequest			À_CLASSER		25	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectMoveRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectMoveToTabRequest			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectRemovedEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectRemovedFromBagEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectTransferAllFromInventoryRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectTransferAllToInventoryRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectTransferExistingFromInventoryRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectTransferExistingToInventoryRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectTransferListFromInventoryRequest			À_CLASSER		23	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectTransferListToInventoryRequest			À_CLASSER		23	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectTransferListWithQuantityToInventoryRequest			À_CLASSER		6	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectTransferTypeFromInventoryRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectUseInWorkshopRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectsAddedEvent			À_CLASSER		2	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectsModifiedEvent			À_CLASSER		7	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectsRemovedEvent			À_CLASSER		5	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeObjectsSellRequest			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangePlayerMultiCraftRequest			À_CLASSER		18	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangePlayerRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangePodsModifiedEvent			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangePositions			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeReadyEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeRecycleTradeStartedEvent			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeReplayStopRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeRequestedTradeEvent			À_CLASSER		12	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeRunesTradeStartedEvent			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeSellRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeSetCraftRecipeRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeSoldEvent			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeStartedEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
kci	12687	ExchangeStartedStorageMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kci
		ExchangeStartedWithMultiTabStorageEvent			À_CLASSER		18	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeStartedWithPodsEvent			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeStartedWithStorageEvent			À_CLASSER		18	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeStoppedEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeTaxCollectorEquipmentRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeTaxCollectorEquipmentStartedEvent			À_CLASSER		81	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeTaxCollectorGetEvent			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeTaxCollectorRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeTaxCollectorShopStartedEvent			À_CLASSER		6	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeTypesExchangerDescriptionForUserEvent			À_CLASSER		14	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeTypesItemsExchangerDescriptionForUserEvent			À_CLASSER		3	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExchangeWeightEvent			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExecuteScript			À_CLASSER		11	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ExitRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
